"Bleeding Love","2024/03/02 18:00",96,"GFT 2","Ewan McGregor stars alongside his daughter Clara as a dad who goes on a poignant road trip with his estranged daughter after she almost loses her life to an overdose.

Ewan McGregor stars alongside his daughter Clara, who co-wrote the script with Vera Bulder and Ruby Caster and who has said that though it is fiction, aspects of it draw on her sometimes tricky relationship with her dad in the past. Emma Westenberg’s touching debut sees McGregor’s recovering alcoholic dad pick up his estranged daughter after she has a near-fatal drug overdose. He is planning to take her to rehab - though she doesn’t know that. The trip is less about the road that they’re on than the troubled one from their past, as they reconnect in this raw and heartfelt drama.
","Ewan McGregor, Jake Weary, Clara McGregor","Drama","","Emma Westenberg","N/C 15+","Drug Use, Mild sexual references","","https://www.youtube.com/watch?v=U5piU4rmc0A?si=3rPWpSE_phWdh271","https://indy-systems.imgix.net/tiyna9jg6ary3ttw91db8x07uxxw"
"Bleeding Love","2024/03/03 15:15",96,"GFT 2","Ewan McGregor stars alongside his daughter Clara as a dad who goes on a poignant road trip with his estranged daughter after she almost loses her life to an overdose.

Ewan McGregor stars alongside his daughter Clara, who co-wrote the script with Vera Bulder and Ruby Caster and who has said that though it is fiction, aspects of it draw on her sometimes tricky relationship with her dad in the past. Emma Westenberg’s touching debut sees McGregor’s recovering alcoholic dad pick up his estranged daughter after she has a near-fatal drug overdose. He is planning to take her to rehab - though she doesn’t know that. The trip is less about the road that they’re on than the troubled one from their past, as they reconnect in this raw and heartfelt drama.
","Ewan McGregor, Jake Weary, Clara McGregor","Drama","","Emma Westenberg","N/C 15+","Drug Use, Mild sexual references","","https://www.youtube.com/watch?v=U5piU4rmc0A?si=3rPWpSE_phWdh271","https://indy-systems.imgix.net/tiyna9jg6ary3ttw91db8x07uxxw"
"Blue Sunshine","2024/03/05 18:15",98,"Cineworld Screen 1","Finely tuned drama focuses on the inner strength of a transgender teacher as she makes her transition to her new life as Bhanu while working in a conservative small-town school.

The multi-talented Samyuktha Vijayan writes, directs and stars in this finely tuned character study of a transgender woman undergoing her transition in the face of conservative Indian society. Transgender woman Bhanu (Vijayan) has been taking hormone treatment for six months but has kept her plans for transition a secret from her parents and the school where she works as a teacher under her old name of Aravind. When she finds herself under pressure to marry, she decides to embrace her new identity with the support of friends. But helping a young non-binary student (Masanth Natarajan) proves fraught with difficulty.

Tamil with English subtitles.","Samyuktha Vijayan, Haritha, Geetha Kailasam","Drama","LGBTQ+","Samyuktha Vijayan
","N/C 15+","Transphobia, Mild sexual references","","https://www.youtube.com/watch?v=6vsTTfMU0HM?si=cTES_PHpVUy0fZxp","https://indy-systems.imgix.net/d9l4b5h019qklpt9xrgsn6ae51gp"
"Blue Sunshine","2024/03/07 18:15",98,"Cineworld Screen 1","Finely tuned drama focuses on the inner strength of a transgender teacher as she makes her transition to her new life as Bhanu while working in a conservative small-town school.

The multi-talented Samyuktha Vijayan writes, directs and stars in this finely tuned character study of a transgender woman undergoing her transition in the face of conservative Indian society. Transgender woman Bhanu (Vijayan) has been taking hormone treatment for six months but has kept her plans for transition a secret from her parents and the school where she works as a teacher under her old name of Aravind. When she finds herself under pressure to marry, she decides to embrace her new identity with the support of friends. But helping a young non-binary student (Masanth Natarajan) proves fraught with difficulty.

Tamil with English subtitles.","Samyuktha Vijayan, Haritha, Geetha Kailasam","Drama","LGBTQ+","Samyuktha Vijayan
","N/C 15+","Transphobia, Mild sexual references","","https://www.youtube.com/watch?v=6vsTTfMU0HM?si=cTES_PHpVUy0fZxp","https://indy-systems.imgix.net/d9l4b5h019qklpt9xrgsn6ae51gp"
"Brick","2024/03/07 10:30",110,"GFT 1","PLEASE NOTE: this performance is free entry but tickets will only be issued from the Box Office on the day of the screening.

Knives Out director Rian Johnson is now a household name but it all began with this enjoyably labyrinthine neo-noir about a young man who investigates the disappearance of his girlfriend.

Classic film noir ideas from the likes of Dashiell Hammett and Raymond Chandler are given a Californian high school makeover in the debut film from Knives Out and The Last Jedi director Rian Johnson. Joseph Gordon-Levitt’s star was on the rise when he took on the role of Brendan, who finds himself turning detective after a phone call from a desperate dame - in this case his ex (Emilie de Ravin), who vanishes. Soon he’s investigating a labyrinthine web of lies and drugs as Johnson turns up the style without losing his grip of the substance of the mystery.","Joseph Gordon-Levitt, Lukas Haas, Emilie de Ravin","Crime","Drama, Mystery","Rian Johnson","15","Violence, Drug Use","Our Story So Far","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/af19f9j7iwtx03ypjx71occberbs"
"Brothers","2024/03/01 20:15",135,"GFT 3","Czechia’s nomination for this year’s Best International Feature Oscar recounts the gripping true story of the Mašín brother’s anti-Communist resistance and their attempt to flee to the West in 1953.

Official Entry: Czechia - Best International Feature - 96th Academy Awards®

Seven decades after brothers Josef and Ctirad Mašín led an armed resistance to the Communist regime before attempting to flee to the West, their story is grippingly brought to the big screen. Oskar Hes and Jan Nedbal star as the brothers, who take up arms after their mother (Tatiana Dyková) refuses to fall in line with the totalitarian state. As their campaign becomes increasingly violent, a dogged security officer (Stefan Konarske), is put on their trail. Tomas Mašín’s film, which is Czechia’s submission for this year’s Best International Feature Oscar, is a tense and compelling portrait of family and resistance.                                                                             

Czech with English subtitles.","Oskar Hes, Jan Nedbal, Adam Ernest","Action","Period Drama","Tomáš Mašín","N/C 15+","Violence","Country Focus","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/n7bfais58oaphe4z9f73zncrhtaz"
"Brothers","2024/03/02 17:50",135,"GFT 3","Czechia’s nomination for this year’s Best International Feature Oscar recounts the gripping true story of the Mašín brother’s anti-Communist resistance and their attempt to flee to the West in 1953.

Official Entry: Czechia - Best International Feature - 96th Academy Awards®

Seven decades after brothers Josef and Ctirad Mašín led an armed resistance to the Communist regime before attempting to flee to the West, their story is grippingly brought to the big screen. Oskar Hes and Jan Nedbal star as the brothers, who take up arms after their mother (Tatiana Dyková) refuses to fall in line with the totalitarian state. As their campaign becomes increasingly violent, a dogged security officer (Stefan Konarske), is put on their trail. Tomas Mašín’s film, which is Czechia’s submission for this year’s Best International Feature Oscar, is a tense and compelling portrait of family and resistance.                                                                             

Czech with English subtitles.","Oskar Hes, Jan Nedbal, Adam Ernest","Action","Period Drama","Tomáš Mašín","N/C 15+","Violence","Country Focus","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/n7bfais58oaphe4z9f73zncrhtaz"
"Bucky F*cking Dent","2024/03/06 20:30",105,"Cineworld Screen 2","David Duchovny adapts his own novel and stars in this black comedy about a baseball-mad dad whose terminal cancer diagnosis leads him to be reunited with his estranged son.

A sharp-edged but sweet-hearted dramedy about a baseball mad dad and his long-estranged son. Duchovny plays Marty, who has been diagnosed with terminal cancer. When his failed novelist son Teddy (Logan Marshall-Green) finds out he decides to care for him and when he discovers his father’s health seems to go up and down according to how his beloved Red Sox are playing, he hatches a plan to put them on a winning streak. Duchovy’s script is enjoyably irreverent and sparky and there is also a lovely worked cameo from Pamela Adlon as Teddy’s agent","Stephanie Beatriz, Logan Marshall-Green, David Duchovny","Comedy","Drama, Romance","David Duchovny","N/C 15+","Drug Use, Strong Language","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/yewzncs2272g60voy7yzezl1ec2q"
"Bucky F*cking Dent","2024/03/07 18:00",105,"Cineworld Screen 2","David Duchovny adapts his own novel and stars in this black comedy about a baseball-mad dad whose terminal cancer diagnosis leads him to be reunited with his estranged son.

A sharp-edged but sweet-hearted dramedy about a baseball mad dad and his long-estranged son. Duchovny plays Marty, who has been diagnosed with terminal cancer. When his failed novelist son Teddy (Logan Marshall-Green) finds out he decides to care for him and when he discovers his father’s health seems to go up and down according to how his beloved Red Sox are playing, he hatches a plan to put them on a winning streak. Duchovy’s script is enjoyably irreverent and sparky and there is also a lovely worked cameo from Pamela Adlon as Teddy’s agent","Stephanie Beatriz, Logan Marshall-Green, David Duchovny","Comedy","Drama, Romance","David Duchovny","N/C 15+","Drug Use, Strong Language","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/yewzncs2272g60voy7yzezl1ec2q"
"Closing Gala: Janey","2024/03/10 19:00",78,"GFT 2","An honest, moving and often hilarious documentary about comic Janey Godley, interweaving stories from her life with footage from her Not Dead Yet tour in the wake of her cancer diagnosis.

Janey Godley takes centrestage in John Archer’s engaging and insightful documentary about the fearless and funny comic. Janey found fame for her sweary anti-Trump placards and became a social media sensation as she revoiced First Minister Nicola Sturgeon’s Covid briefings. “First I was cancelled, then I got cancer,” Janey notes as she recalls being called out for racist historic tweets, apologising and then trying to rebuild her career before receiving her diagnosis. That didn’t stop her from going on tour and Archer interweaves fly-on-the-wall footage with interviews from people such as Jimmy Carr, Nicola Sturgeon, and Janey's daughter, Ashley, that reveal details of a difficult Glasgow childhood.

This screening is rated N/C 18+ due to the sale of alcoholic refreshments.","Janey Godley, Nicola Sturgeon, Jimmy Carr.","Documentary","","John Archer ","N/C 18+","Strong Language","Gala","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/ed4qwuf7ob3a9yr3xr1ob811lmm1"
"Closing Gala: Janey","2024/03/10 19:00",78,"GFT 1","An honest, moving and often hilarious documentary about comic Janey Godley, interweaving stories from her life with footage from her Not Dead Yet tour in the wake of her cancer diagnosis.

Janey Godley takes centrestage in John Archer’s engaging and insightful documentary about the fearless and funny comic. Janey found fame for her sweary anti-Trump placards and became a social media sensation as she revoiced First Minister Nicola Sturgeon’s Covid briefings. “First I was cancelled, then I got cancer,” Janey notes as she recalls being called out for racist historic tweets, apologising and then trying to rebuild her career before receiving her diagnosis. That didn’t stop her from going on tour and Archer interweaves fly-on-the-wall footage with interviews from people such as Jimmy Carr, Nicola Sturgeon, and Janey's daughter, Ashley, that reveal details of a difficult Glasgow childhood.

This screening is rated N/C 18+ due to the sale of alcoholic refreshments.","Janey Godley, Nicola Sturgeon, Jimmy Carr.","Documentary","","John Archer ","N/C 18+","Strong Language","Gala","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/ed4qwuf7ob3a9yr3xr1ob811lmm1"
"Cold","2024/03/05 20:45",98,"Cineworld Screen 1","Murder mystery chiller unfolds across two time periods as a man and his daughter try to come to terms with a suicide while he investigates historic deaths at a juvenile centre.

There’s a whisper of the supernatural running through this mystery chiller from Iceland, which gradually reveals its sinister secrets across two time periods. Ódinn (Jóhannes Haukur Jóhannesson) and his daughter Rún (Jóhannesson’s daughter in real-life Ólöf Halla Jóhannesdóttir, making an impressive debut) are struggling to come to terms with her mother’s suicide. As Ódinn starts to investigate historic deaths at a juvenile centre, director Erlingur Thoroddsen transports us back to see events unfold between the sadistic centre owners, their employee Aldís (Elín Hall) and their young charges. Soon Ódinn begins to suspect the past may be connected to the present.

Icelandic with English subtitles.","Jóhannes Haukur Jóhannesson, Elín Hall, Selma Björnsdóttir","Thriller","","Erlingur Thoroddsen
","N/C 15+","Animal Death, Mild physical violence, Blood, Suicide","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/dd2jf9cicxtag9svr14au66y58y0"
"Cold","2024/03/06 18:15",98,"Cineworld Screen 1","Murder mystery chiller unfolds across two time periods as a man and his daughter try to come to terms with a suicide while he investigates historic deaths at a juvenile centre.

There’s a whisper of the supernatural running through this mystery chiller from Iceland, which gradually reveals its sinister secrets across two time periods. Ódinn (Jóhannes Haukur Jóhannesson) and his daughter Rún (Jóhannesson’s daughter in real-life Ólöf Halla Jóhannesdóttir, making an impressive debut) are struggling to come to terms with her mother’s suicide. As Ódinn starts to investigate historic deaths at a juvenile centre, director Erlingur Thoroddsen transports us back to see events unfold between the sadistic centre owners, their employee Aldís (Elín Hall) and their young charges. Soon Ódinn begins to suspect the past may be connected to the present.

Icelandic with English subtitles.","Jóhannes Haukur Jóhannesson, Elín Hall, Selma Björnsdóttir","Thriller","","Erlingur Thoroddsen
","N/C 15+","Animal Death, Mild physical violence, Blood, Suicide","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/dd2jf9cicxtag9svr14au66y58y0"
"Coup!","2024/03/08 18:00",98,"Cineworld Screen 1","Darkly comic tale of class rebellion set against a backdrop of the 1918 Spanish flu outbreak, starring Peter Sarsgaard as a cook who begins to turn the household against their patriarch.

Peter Sarsgaard shines at the centre of this darkly comic tale of class rebellion set against the backdrop of the 1918 Spanish flu outbreak. He plays charming grifter Floyd Monk who is taken in by a wealthy “progressive” journalist Jay Horton (Billy Magnussen) and his wife (Sarah Gadon). Once in the household, Floyd begins to rabble-rouse the other staff, including maid Mrs Tidwell (Skye P Marshall) and the family’s Turkish chauffeur Kaan (Faran Tahir). Directors Joseph Schuman and Austin Stark serve up this delicious satire at an impressive pace as the pompous patriach’s grip on authority begins to slip.","Peter Sarsgaard, Billy Magnussen, Sarah Gadon","Comedy","Western","Joseph Schuman, Austin Stark","N/C 15+","","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/bctiu21fwpbac5ubq5cwitod3niu"
"Coup!","2024/03/09 15:30",98,"Cineworld Screen 1","Darkly comic tale of class rebellion set against a backdrop of the 1918 Spanish flu outbreak, starring Peter Sarsgaard as a cook who begins to turn the household against their patriarch.

Peter Sarsgaard shines at the centre of this darkly comic tale of class rebellion set against the backdrop of the 1918 Spanish flu outbreak. He plays charming grifter Floyd Monk who is taken in by a wealthy “progressive” journalist Jay Horton (Billy Magnussen) and his wife (Sarah Gadon). Once in the household, Floyd begins to rabble-rouse the other staff, including maid Mrs Tidwell (Skye P Marshall) and the family’s Turkish chauffeur Kaan (Faran Tahir). Directors Joseph Schuman and Austin Stark serve up this delicious satire at an impressive pace as the pompous patriach’s grip on authority begins to slip.","Peter Sarsgaard, Billy Magnussen, Sarah Gadon","Comedy","Western","Joseph Schuman, Austin Stark","N/C 15+","","","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/bctiu21fwpbac5ubq5cwitod3niu"
"Custom","2024/03/09 15:35",90,"GFT 1","A pair of struggling arthouse pornographers encounter a mysterious client who offers life-changing money to perform strange rituals on videotape.

The long awaited first feature from award-winning, Brazilian-born and UK-based filmmaker Tiago Teixeira, director of the acclaimed shorts Dog Skin and Wrong Number. In this paranoid horror thriller, blurring the lines between death and sex, reality and fantasy, Jasper (Rowan Polonski) and Harriet (Abigail Hardingham) are arthouse pornographers struggling to make ends meet. Their stock in trade is producing custom-made erotic films for an exclusive clientele into the forbidden, the shocking and the strange. As they hit rock bottom, they encounter 'The Audience’, a mysterious client offering life-changing amounts of money to perform strange rituals on videotape.

The film will be accompanied by a screening of short film, Subject 73.
In a mysterious experiment, a participant's pursuit of wealth unravels as money and morality clash.
Directed by Reiff Gaskell
Starring Freya Warsi. 
UK 2023. 7 min","Abigail Hardingham, Rowan Polonski, Brad Moore","Horror","","Tiago Teixeira","N/C 18+","Violence, Blood, Graphic nudity, Strong sexual references","FrightFest","https://www.youtube.com/watch?v=","https://indy-systems.imgix.net/qakm994ellmt7rtguwssh6tr0wpj"
"Daisies","2024/03/05 20:45",75,"GFT 3","Two young women wreak rebellious havoc in this avant-garde and subversive Czech New Wave classic that skewers authoritarianism and patriarchal ideas of cliched femininity with blackly comic exuberance.

Marie I and Marie II (Jitka Cerhová and Ivana Karbanová) may look demure when we first meet them but they’ll soon be wreaking rebellious havoc in this Czech New Wave classic. Věra Chytilová’s avant garde film is wildly inventive and subversive, using every trick in the book to add to the sense of dislocation. The Maries flirt with men but they have the upper hand, cheekily running up expensive restaurant tabs and then giving their dates the slip. Chytilová’s heroines gleefully fly in the face of authoritarianism and patriarchal expectations of femininity in this blackly comic triumph.

Czech with English subtitles"," Ivana Karbanová, Jitka Cerhová, Marie Cesková","Comedy","Drama","Věra Chytilová","15","Violence, Graphic nudity, Mild sexual references","Country Focus","https://www.youtube.com/watch?v=/cPpPpnVwRgY?si=ET1lOw4DQZ5OY2Gr","https://indy-systems.imgix.net/5vs8819hme8hec8gqg420xxs7c9k"
"Daisies","2024/03/06 18:45",75,"GFT 3","Two young women wreak rebellious havoc in this avant-garde and subversive Czech New Wave classic that skewers authoritarianism and patriarchal ideas of cliched femininity with blackly comic exuberance.

Marie I and Marie II (Jitka Cerhová and Ivana Karbanová) may look demure when we first meet them but they’ll soon be wreaking rebellious havoc in this Czech New Wave classic. Věra Chytilová’s avant garde film is wildly inventive and subversive, using every trick in the book to add to the sense of dislocation. The Maries flirt with men but they have the upper hand, cheekily running up expensive restaurant tabs and then giving their dates the slip. Chytilová’s heroines gleefully fly in the face of authoritarianism and patriarchal expectations of femininity in this blackly comic triumph.

Czech with English subtitles"," Ivana Karbanová, Jitka Cerhová, Marie Cesková","Comedy","Drama","Věra Chytilová","15","Violence, Graphic nudity, Mild sexual references","Country Focus","https://www.youtube.com/watch?v=/cPpPpnVwRgY?si=ET1lOw4DQZ5OY2Gr","https://indy-systems.imgix.net/5vs8819hme8hec8gqg420xxs7c9k"
"Disco Boy","2024/03/02 18:30",92,"Cineworld Screen 2","An undocumented immigrant who signs up to the Foreign Legion becomes increasingly psychologically troubled after a mission to the Niger Delta in this gripping and hallucinatory character study, starring Franz Rogowski.

German star Franz Rogowski (Victoria, Passages) brings an intense and unpredictable energy to the central role in Giacomo Abbruzzese’s trippy and gripping debut. He plays Aleksei, a Belarussian undocumented immigrant to France, who signs up with the Foreign Legion  to gain citizenship. His story intertwines with that of guerrilla fighter Jomo (Morr Ndiaye) and his sister Udoka (Laetitia Ky) on a mission to rescue hostages in the Niger Delta. From that point - involving a stunning night-vision fight scene - Aleksei starts to psychologically unravel as his return to France sparks a hallucinatory and haunting obsession, all set to a pulsing electro-score from Vitalic.    

Ibo, French, Polish and English with English subtitles.","Franz Rogowski, Morr Ndiaye, Laetitia Ky","Drama","","Giacomo Abbruzzese","N/C 15+","Murder, Strong physical violence, Mild nudity, Mild sexual references, Racism / discrimination / slurs","","https://www.youtube.com/watch?v=/dIFnEGhVMWY?si=4Z9XDuerrpTx7qge","https://indy-systems.imgix.net/ylqvqsxo3cz6gmm6k6e0zvtbwqn4"
